Name,Team,IP,K%,BB%,BABIP,GB%,LD%,FB%,IFFB%,EV,Soft%,Med%,Hard%,FB%,SL%,CT%,CB%,CH%,SF%,KN%,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Swing%,Contact%,Zone%,F-Strike%,SwStr%,LOB%,FBv,SLv,CTv,CBv,CHv,SFv,KNv,Z-Swing%,O-Contact%,Z-Contact%,Pace,playerid
Hiroki Kuroda,- - -,1018.1,0.187,0.054,0.283,0.48,0.2,0.319,0.123,,0.204,0.524,0.272,0.521,0.262,0.005,0.036,,0.176,,0.08,0.51,0.72,-0.11,,0.64,,0.331,0.468,0.78,0.399,0.601,0.102,0.744,91.8,83.7,89.8,77,,86.6,,0.675,0.641,0.883,24,3283
Kris Medlen,- - -,434,0.195,0.061,0.295,0.472,0.213,0.315,0.076,89.1,0.161,0.53,0.309,0.584,0,0.03,0.166,0.221,,,-0.11,-2.88,-3.02,0.01,1.65,,,0.299,0.467,0.778,0.472,0.626,0.103,0.74,89.8,83,86,77.3,81.8,,,0.655,0.618,0.86,20.2,9417
Carlos Martinez,Cardinals,712.1,0.234,0.089,0.3,0.533,0.19,0.278,0.079,87,0.203,0.486,0.311,0.559,0.229,0.026,0.024,0.162,,,0.22,0.95,0.96,-0.01,0.17,,,0.306,0.466,0.78,0.467,0.61,0.103,0.766,95.3,85,90.5,81,87.1,,,0.649,0.617,0.867,20.4,11682
Dakota Hudson,Cardinals,174,0.18,0.113,0.275,0.569,0.218,0.212,0.091,89.3,0.174,0.42,0.407,0.617,0.258,,0.099,0.026,,,-0.05,0.76,,-0.64,-1.14,,,0.276,0.438,0.775,0.419,0.561,0.099,0.78,93.7,87.5,,81.9,88.2,,,0.664,0.584,0.885,24.9,19206
Brandon Beachy,- - -,275.2,0.247,0.081,0.273,0.368,0.204,0.428,0.098,90.2,0.183,0.542,0.274,0.613,0.169,,0.099,0.119,,,0.97,0.26,,-0.75,0.15,,,0.311,0.465,0.776,0.439,0.604,0.103,0.721,91.4,82.3,,73.1,80.4,,,0.661,0.632,0.863,21.6,8851
Hisashi Iwakuma,Mariners,853.1,0.201,0.049,0.279,0.473,0.197,0.33,0.092,88.6,0.165,0.537,0.299,0.488,0.194,0.024,0.064,,0.231,,0.45,0.04,0.87,-0.99,,1.11,,0.344,0.491,0.809,0.47,0.646,0.093,0.779,88.8,81,85,71.8,,84.5,,0.657,0.666,0.894,25,13048
Alexi Ogando,Rangers,267.2,0.176,0.074,0.261,0.381,0.214,0.405,0.127,,0.237,0.517,0.246,0.625,0.287,,,0.089,,,0.27,0.8,,,0.71,,,0.289,0.464,0.812,0.455,0.568,0.087,0.748,94.5,81,,,85.5,,,0.673,0.703,0.868,21.3,10261
Josh Johnson,- - -,516.2,0.227,0.076,0.303,0.463,0.218,0.319,0.092,,0.159,0.557,0.284,0.593,0.248,,0.09,0.069,,,0.41,0.81,,1.08,-1.45,,,0.307,0.454,0.774,0.424,0.606,0.102,0.736,93.7,87.2,,78.6,87.2,,,0.654,0.616,0.875,20.1,4567
Tsuyoshi Wada,Cubs,100.2,0.21,0.071,0.294,0.38,0.229,0.39,0.105,90.4,0.198,0.466,0.336,0.595,0.185,0.009,0.048,0.163,,,-0.41,0.86,7.27,1.28,-0.56,,,0.279,0.473,0.831,0.473,0.612,0.079,0.786,88.8,81.3,85.4,72.9,81.3,,,0.689,0.765,0.861,22.6,13046
Frankie Montas,- - -,166.2,0.221,0.069,0.314,0.461,0.233,0.306,0.093,88,0.146,0.444,0.41,0.627,0.257,,,0.013,0.104,,-0.45,2.07,,,-0.6,0.81,,0.326,0.49,0.783,0.436,0.589,0.106,0.719,96.2,87.4,,,87.6,86.8,,0.702,0.657,0.858,23.8,14309
Felix Hernandez,Mariners,1819,0.229,0.069,0.288,0.514,0.193,0.293,0.085,89.2,0.174,0.538,0.289,0.498,0.089,0,0.181,0.232,,,-0.23,0.56,-25.53,1.07,1.52,,,0.324,0.46,0.78,0.439,0.625,0.101,0.737,92.1,85,86,80.3,88.1,,,0.634,0.612,0.889,22.3,4772
Andy Pettitte,Yankees,389.2,0.184,0.068,0.297,0.472,0.199,0.329,0.108,,0.19,0.532,0.278,0.53,,0.259,0.136,0.075,,,-0.27,,0.86,1.53,-0.35,,,0.321,0.452,0.814,0.451,0.633,0.084,0.756,88.8,,82.8,74.9,80.1,,,0.612,0.666,0.909,21.1,840
Alex Wood,- - -,789,0.218,0.068,0.3,0.487,0.217,0.296,0.079,87.7,0.171,0.516,0.314,0.55,,,0.239,0.211,,,0.31,,,0.7,0.37,,,0.318,0.46,0.787,0.437,0.648,0.098,0.748,90.1,,,81.3,83.6,,,0.644,0.647,0.876,21.8,13781
Dallas Braden,Athletics,210.2,0.15,0.056,0.274,0.406,0.184,0.409,0.151,,0.23,0.479,0.291,0.57,0.109,0.056,0,0.265,,,0.63,-1.54,-2.26,18.03,1.81,,,0.307,0.465,0.834,0.461,0.63,0.078,0.718,86.7,74.4,83.6,,72.3,,,0.65,0.763,0.872,18.5,8099
Adam Wainwright,Cardinals,1454.2,0.21,0.064,0.303,0.484,0.228,0.288,0.083,87.3,0.188,0.52,0.292,0.419,0.043,0.213,0.286,0.039,0.001,,-0.15,0.67,1.03,1.38,-1.37,-5.12,,0.305,0.447,0.807,0.445,0.613,0.086,0.736,90.4,85.5,86.2,74.2,83,85.4,,0.624,0.66,0.896,22.3,2233
Aaron Nola,Phillies,771.1,0.26,0.074,0.292,0.506,0.198,0.297,0.077,87.5,0.203,0.483,0.314,0.52,,,0.319,0.161,,,-0.03,,,1.87,0.26,,,0.315,0.447,0.756,0.449,0.645,0.109,0.758,91.8,,,77.9,84.5,,,0.608,0.616,0.844,24.5,16149
James Paxton,- - -,733,0.265,0.074,0.304,0.451,0.203,0.346,0.107,89.4,0.167,0.508,0.325,0.641,,0.13,0.185,0.044,,,0.6,,0.92,0.62,-1.7,,,0.314,0.486,0.75,0.459,0.624,0.121,0.736,95.4,,88.9,81.2,86.9,,,0.688,0.578,0.843,20.7,11828
Gio Gonzalez,- - -,1762.1,0.225,0.096,0.29,0.472,0.203,0.325,0.087,87.7,0.187,0.531,0.283,0.632,,,0.223,0.145,,,0.3,,,0.43,0.79,,,0.294,0.434,0.781,0.408,0.562,0.095,0.746,91.6,,,77.8,83.3,,,0.636,0.665,0.859,20.5,7448
Garrett Richards,- - -,690.1,0.211,0.088,0.279,0.523,0.194,0.283,0.097,88.1,0.197,0.532,0.272,0.616,0.306,,0.062,0.016,,,0.24,0.87,,0.75,-4.49,,,0.304,0.449,0.764,0.441,0.573,0.106,0.707,95.5,87.3,,79.3,87.1,,,0.632,0.56,0.888,23.8,9784
Tim Hudson,- - -,1064.2,0.154,0.065,0.277,0.572,0.183,0.245,0.065,90.2,0.19,0.551,0.259,0.576,0.202,0.026,0.086,0.022,0.089,,0.53,0.63,-1.36,0.41,-0.07,-0.33,,0.288,0.46,0.822,0.453,0.609,0.081,0.73,89.8,84.1,89,75.8,80.8,81.7,,0.666,0.655,0.909,22.6,921
Jon Lester,- - -,1979.2,0.227,0.075,0.299,0.463,0.208,0.329,0.107,87.6,0.195,0.521,0.284,0.506,,0.262,0.144,0.088,,,0.04,,0.63,0.12,0.42,,,0.302,0.453,0.789,0.414,0.596,0.096,0.744,92,,88.7,75.5,85.1,,,0.666,0.652,0.877,23.2,4930
Mat Latos,- - -,1092.2,0.212,0.072,0.282,0.438,0.19,0.372,0.105,88.2,0.19,0.514,0.297,0.597,0.222,0.001,0.099,0.064,0.019,,0.11,1.04,5.33,0.7,0.2,1.16,,0.323,0.468,0.784,0.444,0.613,0.101,0.732,92.3,85,89,77.7,82.8,80.6,,0.65,0.636,0.876,22.5,3815
Sonny Gray,- - -,1054.2,0.222,0.084,0.279,0.529,0.187,0.284,0.077,88.8,0.178,0.524,0.298,0.537,0.144,0.035,0.203,0.081,,,0.07,1.35,-1.4,1.37,0.05,,,0.289,0.44,0.773,0.433,0.589,0.1,0.727,93,85.3,92.5,81.3,88.4,,,0.637,0.577,0.888,24.6,12768
Alex Colome,Rays,103.2,0.158,0.089,0.279,0.407,0.239,0.354,0.123,89.2,0.184,0.555,0.261,0.578,0.216,,0.058,0.148,,,0.37,-0.57,,1.03,-0.49,,,0.26,0.448,0.802,0.437,0.638,0.088,0.762,94,87.1,,78.3,85.7,,,0.69,0.656,0.873,27,6661
Yu Darvish,- - -,1051,0.298,0.088,0.288,0.418,0.216,0.365,0.094,87.2,0.183,0.514,0.303,0.465,0.213,0.177,0.089,0.018,0.038,,-0.57,1.95,1.21,1.39,-1.16,0.9,,0.306,0.455,0.729,0.445,0.593,0.123,0.764,93.3,81.9,88.4,74.1,86.6,89.2,,0.64,0.554,0.833,25.6,13074
Jered Weaver,- - -,1395.2,0.188,0.062,0.267,0.333,0.199,0.468,0.129,87.6,0.208,0.524,0.268,0.536,0.144,,0.159,0.162,,,-0.02,-0.35,,1.09,0.9,,,0.296,0.447,0.792,0.448,0.615,0.093,0.766,87,79,,70,77.4,,,0.633,0.711,0.838,21.1,4235
C.J. Wilson,- - -,1149.2,0.206,0.098,0.287,0.476,0.203,0.321,0.067,90.1,0.174,0.54,0.286,0.514,0.126,0.131,0.132,0.097,,0,0.46,0.5,0.25,-0.1,-0.17,,4.79,0.258,0.403,0.805,0.445,0.579,0.078,0.722,91,82.9,88.2,77.1,84.4,,79.5,0.585,0.645,0.893,22,3580
Shane Bieber,Indians,322.1,0.285,0.046,0.318,0.446,0.213,0.341,0.091,90.3,0.123,0.448,0.429,0.494,0.255,,0.188,0.062,,,0.24,1.27,,0.2,-0.98,,,0.338,0.473,0.721,0.427,0.655,0.132,0.746,93.1,84.6,,81.9,87.7,,,0.654,0.528,0.855,22.6,19427
Luis Severino,Yankees,506.2,0.27,0.067,0.299,0.461,0.225,0.314,0.114,87.9,0.207,0.484,0.309,0.514,0.35,,,0.136,,,0.12,0.92,,,0.56,,,0.312,0.481,0.756,0.476,0.657,0.117,0.745,97.1,88.3,,,87.9,,,0.667,0.604,0.835,21.5,15890
Lance Lynn,- - -,1304,0.231,0.089,0.305,0.442,0.216,0.342,0.105,87.7,0.189,0.501,0.311,0.767,0.108,,0.092,0.03,0.003,,0.5,-0.31,,-0.89,-2.54,-1.86,,0.293,0.462,0.788,0.416,0.591,0.098,0.753,92.6,87.7,,79.5,84.5,88.4,,0.699,0.686,0.848,23.1,2520
Dallas Keuchel,- - -,1280.2,0.192,0.07,0.292,0.59,0.19,0.22,0.09,87.1,0.215,0.521,0.264,0.548,0.183,0.12,0.017,0.132,,,0.28,0.53,0.2,-1.97,0.58,,,0.321,0.441,0.793,0.385,0.611,0.091,0.743,89.1,79,86.4,73.2,78.8,,,0.634,0.667,0.895,21.8,9434
Julio Teheran,Braves,1352.1,0.209,0.081,0.268,0.38,0.211,0.408,0.101,88.5,0.182,0.49,0.328,0.619,0.213,,0.088,0.081,,,0.38,0.17,,-0.4,0.16,,,0.303,0.468,0.78,0.431,0.612,0.103,0.76,90.7,81.3,,72.9,82.4,,,0.687,0.66,0.849,23.7,6797
