Name,Team,IP,K%,BB%,BABIP,GB%,LD%,FB%,IFFB%,EV,Soft%,Med%,Hard%,FB%,SL%,CT%,CB%,CH%,SF%,KN%,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Swing%,Contact%,Zone%,F-Strike%,SwStr%,LOB%,FBv,SLv,CTv,CBv,CHv,SFv,KNv,Z-Swing%,O-Contact%,Z-Contact%,Pace,playerid
Jerad Eickhoff,Phillies,433,0.212,0.069,0.288,0.386,0.208,0.406,0.104,88.9,0.182,0.48,0.339,0.508,0.186,,0.274,0.033,,,-0.73,-0.16,,1.11,-2.19,,,0.29,0.452,0.788,0.45,0.611,0.096,0.75,90.7,83.1,,75.5,83.8,,,0.65,0.638,0.87,21.3,12664
Trevor Bauer,- - -,1095,0.248,0.092,0.298,0.419,0.214,0.367,0.108,88.8,0.178,0.482,0.339,0.48,0.106,0.108,0.201,0.085,0.02,,-0.21,0.55,-0.11,0.85,-0.75,-0.62,,0.286,0.442,0.767,0.429,0.594,0.103,0.73,93.8,82.2,86.6,78.4,85.6,86.5,,0.65,0.591,0.871,22.7,12703
Robbie Ray,- - -,788,0.288,0.105,0.312,0.411,0.224,0.366,0.093,89.7,0.156,0.45,0.394,0.617,0.219,,0.125,0.039,,,0.19,-0.21,,0.41,-2.11,,,0.297,0.45,0.73,0.43,0.585,0.121,0.75,93.5,84.3,,82,84.8,,,0.652,0.562,0.832,23.8,11486
Jaime Barria,Angels,189.2,0.194,0.083,0.261,0.361,0.188,0.451,0.102,89,0.152,0.462,0.386,0.453,0.396,,,0.151,,,-1.34,1.43,,,-0.59,,,0.296,0.446,0.779,0.398,0.565,0.099,0.805,91.4,82.8,,,82.8,,,0.674,0.663,0.855,24.6,18356
Jeff Samardzija,- - -,1475,0.214,0.066,0.289,0.431,0.211,0.358,0.089,88.3,0.18,0.521,0.299,0.492,0.196,0.152,0.039,,0.121,,-0.09,0.93,-0.05,0.12,,0,,0.322,0.483,0.79,0.451,0.623,0.101,0.715,94.1,85.7,91.6,79.7,,84.8,,0.68,0.663,0.864,22.8,3254
Shelby Miller,- - -,734,0.192,0.092,0.289,0.422,0.198,0.379,0.099,88.5,0.173,0.49,0.337,0.684,,0.124,0.156,0.036,,,0.06,,0.42,-0.35,-2.24,,,0.278,0.471,0.823,0.479,0.601,0.083,0.724,93.7,,87.8,78.4,85.8,,,0.68,0.703,0.875,22.8,10197
Eric Stults,- - -,515.1,0.148,0.056,0.291,0.41,0.216,0.374,0.094,88.3,0.161,0.528,0.312,0.494,0.178,,0.097,0.232,,,-0.22,0.41,,-2.71,0.19,,,0.33,0.457,0.842,0.411,0.627,0.072,0.712,87.3,79.7,,66.9,78.5,,,0.64,0.759,0.903,20.3,8011
Ricky Romero,Blue Jays,620.1,0.181,0.103,0.281,0.545,0.175,0.28,0.064,,0.179,0.574,0.247,0.521,0.023,0.135,0.121,0.2,,,-0.2,-1.09,-0.5,0,1.12,,,0.289,0.442,0.795,0.431,0.565,0.09,0.717,91.4,82.6,91,76.5,84,,,0.643,0.618,0.9,21.4,3403
J.A. Happ,- - -,1472.1,0.212,0.083,0.29,0.405,0.204,0.391,0.109,88.6,0.185,0.5,0.315,0.686,0.127,,0.073,0.114,,,0.39,-0.67,,-0.91,-1.06,,,0.295,0.461,0.808,0.434,0.599,0.088,0.737,91.4,84.5,,77.4,84.2,,,0.677,0.704,0.867,21.7,7410
Andrew Cashner,- - -,1076.1,0.171,0.082,0.293,0.478,0.203,0.32,0.074,89,0.16,0.527,0.313,0.631,0.158,,0.067,0.144,,,0.13,-0.17,,-2.66,-0.26,,,0.28,0.45,0.83,0.444,0.588,0.076,0.702,93.9,85.7,,80.8,84.6,,,0.662,0.706,0.895,21.4,8782
Jason Vargas,- - -,1423.1,0.167,0.07,0.284,0.386,0.198,0.416,0.119,87.3,0.192,0.503,0.305,0.537,0.011,0.042,0.113,0.298,,,-0.71,-0.28,-0.48,0.1,1.31,,,0.31,0.445,0.8,0.43,0.624,0.089,0.737,86.8,83.5,84.1,73.6,79.8,,,0.624,0.706,0.863,20.8,8044
Carlos Rodon,White Sox,522.2,0.228,0.099,0.3,0.441,0.204,0.355,0.091,88.8,0.164,0.539,0.297,0.606,0.281,,,0.113,,,-0.57,1.48,,,-1.34,,,0.286,0.45,0.776,0.437,0.551,0.101,0.74,93.1,86.1,,,84.2,,,0.661,0.618,0.864,21.4,16137
Miguel Gonzalez,- - -,867.1,0.164,0.076,0.28,0.382,0.217,0.401,0.105,88.4,0.178,0.526,0.297,0.56,0.167,,0.113,,0.16,,-0.32,0.03,,-0.35,,0.06,,0.324,0.48,0.833,0.439,0.624,0.08,0.75,91.2,85.5,,77.1,,83.8,,0.679,0.738,0.89,23.4,7024
Jon Garland,- - -,322,0.143,0.095,0.281,0.491,0.193,0.316,0.091,,0.17,0.527,0.303,0.55,0.122,0.121,0.106,0.086,0.016,,0.11,0.57,-0.59,-1.98,0.01,1.77,,0.277,0.439,0.845,0.437,0.607,0.068,0.735,89.3,83.4,86.5,76.6,80.7,84.8,,0.649,0.738,0.904,22.2,232
Jeremy Hellickson,- - -,1255,0.174,0.072,0.268,0.394,0.213,0.393,0.117,88,0.189,0.515,0.296,0.515,,0.055,0.152,0.278,,,-0.21,,-1.27,-0.17,0.73,,,0.307,0.463,0.794,0.426,0.612,0.095,0.732,90.4,,86.9,76.5,80.3,,,0.673,0.695,0.855,25.1,4371
Trevor Williams,Pirates,459,0.179,0.074,0.284,0.422,0.219,0.36,0.1,87.1,0.2,0.497,0.304,0.693,0.168,,0.011,0.128,,,0.77,-1.14,,-2.56,-1.4,,,0.315,0.478,0.816,0.432,0.616,0.088,0.724,91.2,82.8,,76.7,83.8,,,0.694,0.691,0.89,23.6,16977
Jeff Niemann,Rays,346.2,0.183,0.075,0.269,0.458,0.178,0.365,0.134,,0.19,0.519,0.291,0.622,0.092,0.005,0.189,,0.093,,0.39,-0.69,5.32,-0.35,,-0.21,,0.283,0.446,0.821,0.47,0.589,0.079,0.724,91.1,84.9,89,78.1,,84.1,,0.629,0.679,0.893,23.2,8591
Jake Peavy,- - -,1000.1,0.198,0.064,0.284,0.371,0.193,0.436,0.112,88.9,0.174,0.519,0.307,0.505,0.109,0.196,0.091,0.098,,,0.28,-0.28,0.41,-0.3,-0.95,,,0.319,0.484,0.812,0.442,0.64,0.091,0.712,90.4,82.1,86.2,79.4,83,,,0.692,0.684,0.886,21.8,1051
Joe Kelly,- - -,431.1,0.164,0.094,0.3,0.51,0.225,0.265,0.064,89.8,0.169,0.525,0.307,0.665,0.115,,0.1,0.12,,,-0.11,-1.57,,-0.85,0.11,,,0.268,0.423,0.83,0.429,0.58,0.072,0.723,94.9,84.6,,79.3,84.6,,,0.63,0.689,0.91,23.2,9761
Gavin Floyd,- - -,626.2,0.194,0.072,0.302,0.473,0.187,0.34,0.096,,0.168,0.527,0.305,0.504,0.072,0.189,0.182,0.053,,,-0.3,1.15,0.92,0.31,-1.39,,,0.299,0.451,0.789,0.434,0.62,0.094,0.714,91.7,84.2,85.7,79.4,84.8,,,0.649,0.635,0.882,21.4,3886
Joey Lucchesi,Padres,293.2,0.246,0.08,0.286,0.46,0.195,0.346,0.079,88.7,0.182,0.433,0.386,0.568,0,0.076,0.014,0.342,,,0.41,-2.98,-1.48,-2.95,0.27,,,0.289,0.443,0.764,0.415,0.609,0.105,0.753,90.3,83,90.5,76.4,79.2,,,0.66,0.59,0.871,26.7,19320
Mike Montgomery,- - -,356.2,0.18,0.079,0.296,0.524,0.203,0.272,0.047,88.8,0.155,0.501,0.344,0.495,,0.134,0.19,0.181,,,-0.37,,-0.55,-0.43,0.94,,,0.317,0.456,0.791,0.416,0.625,0.095,0.733,91.5,,87.5,76.8,82.7,,,0.652,0.659,0.881,21.7,4869
Francisco Liriano,- - -,1358.1,0.233,0.107,0.298,0.501,0.199,0.3,0.071,87.4,0.203,0.51,0.287,0.475,0.324,,,0.201,,,-0.89,1.38,,,0.42,,,0.311,0.435,0.716,0.382,0.558,0.124,0.714,92.7,85.5,,,85.3,,,0.635,0.547,0.849,21.3,3201
Collin McHugh,- - -,686.2,0.218,0.067,0.306,0.416,0.22,0.364,0.104,86.8,0.195,0.518,0.287,0.384,0.234,0.098,0.239,0.045,,,-0.71,0.68,0.5,0.24,-0.52,,,0.315,0.47,0.771,0.453,0.625,0.107,0.726,90.6,85.1,86.7,72.7,83.2,,,0.658,0.637,0.849,22.5,7531
Adalberto Mejia,Twins,117.1,0.179,0.101,0.314,0.385,0.23,0.385,0.099,87.1,0.205,0.488,0.307,0.568,0.151,,0.104,0.177,,,-0.39,0.5,,0.45,-1.58,,,0.32,0.479,0.789,0.417,0.562,0.101,0.775,92.5,85.5,,81.6,83.2,,,0.7,0.668,0.866,25.1,13188
Brandon Woodruff,Brewers,180.1,0.251,0.071,0.308,0.46,0.215,0.326,0.068,85.7,0.214,0.443,0.343,0.634,0.213,,0.016,0.137,,,1.01,1.01,,-2.78,-0.81,,,0.33,0.5,0.788,0.441,0.602,0.106,0.716,95.6,87.5,,81.6,86.2,,,0.716,0.657,0.865,24.3,16162
Bartolo Colon,- - -,1363.1,0.158,0.041,0.301,0.424,0.208,0.368,0.093,89.3,0.161,0.518,0.321,0.844,0.089,0.005,,0.062,,,0,-1.17,-3.02,,-1.79,,,0.31,0.468,0.88,0.486,0.653,0.056,0.718,89,82.4,86.5,,81.5,,,0.636,0.806,0.918,21.8,375
Anthony DeSclafani,- - -,614,0.212,0.066,0.298,0.426,0.213,0.361,0.089,88.7,0.166,0.478,0.356,0.587,0.271,,0.091,0.051,,,-0.07,0.68,,-1.57,-0.23,,,0.306,0.475,0.797,0.452,0.618,0.096,0.728,93.3,87.4,,81.6,87.1,,,0.68,0.636,0.886,21.5,13050
Roenis Elias,- - -,297,0.203,0.091,0.293,0.438,0.205,0.357,0.105,88.3,0.196,0.497,0.307,0.526,0.002,,0.226,0.246,,,-0.71,9.96,,0.74,0.6,,,0.289,0.45,0.78,0.437,0.599,0.099,0.723,92,77.1,,78.8,85.4,,,0.657,0.634,0.863,21.9,12673
Yovani Gallardo,- - -,1478.1,0.196,0.088,0.3,0.468,0.211,0.321,0.081,88.6,0.165,0.535,0.3,0.557,0.23,,0.175,0.039,,,0.01,-0.24,,-0.29,-1.91,,,0.262,0.413,0.817,0.409,0.587,0.075,0.727,91.5,87.3,,79.4,85.2,,,0.632,0.68,0.9,22.3,8173
Matt Garza,- - -,1181.2,0.189,0.076,0.291,0.432,0.207,0.361,0.113,88.1,0.19,0.514,0.297,0.64,0.203,,0.104,0.052,,,0.02,0.52,,-0.88,-2.39,,,0.318,0.472,0.809,0.434,0.618,0.09,0.693,92.9,84.7,,75.1,85.2,,,0.674,0.672,0.893,24.6,3340
Parker Bridwell,Angels,119,0.147,0.061,0.258,0.382,0.205,0.413,0.127,88.2,0.159,0.504,0.337,0.44,0.207,0.256,,0.097,,,0.19,1,-0.42,,-0.9,,,0.299,0.472,0.805,0.45,0.63,0.092,0.778,92.4,79.6,90.1,,84.4,,,0.682,0.65,0.888,21,11502
Kyle Freeland,Rockies,456.1,0.178,0.086,0.298,0.491,0.192,0.317,0.101,87.2,0.201,0.459,0.34,0.56,0.047,0.283,,0.11,,,0.28,-0.94,-0.16,,-1.79,,,0.297,0.457,0.812,0.407,0.601,0.086,0.752,91.8,80.5,86.2,,86,,,0.689,0.701,0.882,23.6,16256
Ryan Dempster,- - -,759.1,0.217,0.091,0.299,0.441,0.195,0.363,0.088,,0.196,0.501,0.303,0.518,0.312,0.037,,,0.133,,-0.7,0.26,-1.54,,,1.25,,0.31,0.451,0.772,0.423,0.6,0.103,0.719,90.2,84.6,87.5,,,81.5,,0.644,0.619,0.872,22.1,517
Randall Delgado,- - -,284.2,0.168,0.078,0.287,0.438,0.214,0.349,0.125,87.5,0.201,0.528,0.271,0.652,0.024,,0.095,0.229,,,0.06,-0.79,,-2.02,-0.14,,,0.317,0.446,0.793,0.399,0.596,0.092,0.739,92.1,84.2,,78.4,82.5,,,0.639,0.711,0.853,20.8,5985
Luke Weaver,- - -,284.2,0.245,0.072,0.321,0.421,0.237,0.342,0.116,88.1,0.174,0.479,0.346,0.573,,0.072,0.11,0.246,,,0.13,,-0.23,-1.58,0.81,,,0.283,0.463,0.783,0.44,0.603,0.1,0.716,93.4,,87.4,80.5,84.8,,,0.691,0.662,0.846,22.2,16918
Alex Sanabia,Marlins,129.1,0.132,0.073,0.305,0.368,0.198,0.434,0.097,,0.194,0.492,0.314,0.566,0.173,,,0.261,,,-0.61,-1.17,,,-0.14,,,0.311,0.475,0.82,0.46,0.605,0.085,0.755,89.8,82.9,,,82,,,0.667,0.707,0.883,20.3,5350
Scott Baker,- - -,368.1,0.198,0.058,0.3,0.338,0.207,0.455,0.108,90.7,0.2,0.509,0.292,0.651,0.156,,0.134,0.06,,,-0.07,-0.37,,-0.86,-0.89,,,0.332,0.518,0.812,0.497,0.609,0.097,0.75,90.8,82.9,,81,83,,,0.706,0.676,0.876,23,6176
James McDonald,- - -,440.2,0.203,0.101,0.294,0.382,0.202,0.416,0.078,,0.186,0.518,0.296,0.652,0.093,,0.194,0.061,,,-0.49,1.65,,0.56,-0.87,,,0.281,0.448,0.811,0.449,0.548,0.084,0.725,92.2,79.7,,76.3,81.6,,,0.654,0.692,0.873,20.3,5523
A.J. Burnett,- - -,1147.2,0.21,0.088,0.308,0.518,0.195,0.287,0.076,89.9,0.171,0.52,0.309,0.61,,,0.322,0.068,,,-0.58,,,0.61,-0.98,,,0.277,0.437,0.786,0.442,0.59,0.093,0.714,92.3,,,82.1,87.3,,,0.639,0.57,0.905,23.9,512
Tim Lincecum,- - -,1072.1,0.229,0.097,0.306,0.466,0.217,0.317,0.07,90.4,0.18,0.53,0.29,0.508,0.16,,0.097,0.234,,,-0.24,-0.28,,-0.71,0.55,,,0.303,0.446,0.751,0.425,0.547,0.11,0.725,90.5,82.6,,76.7,83.1,,,0.64,0.586,0.857,20.6,5705
Trevor Cahill,- - -,1082.2,0.179,0.092,0.288,0.554,0.183,0.263,0.058,88.3,0.169,0.517,0.314,0.574,0.099,0.001,0.13,0.197,,,-0.09,-0.4,-1.29,-0.02,0.08,,,0.268,0.414,0.789,0.421,0.588,0.087,0.708,89.9,85.9,89.2,78.8,81.6,,,0.614,0.622,0.889,20.2,6249
Scott Kazmir,- - -,819.1,0.202,0.083,0.292,0.416,0.202,0.383,0.087,86.8,0.169,0.55,0.282,0.601,0.113,0.072,0.039,0.175,0,,0.02,-0.66,0.07,-0.28,-0.08,-4.12,,0.289,0.462,0.797,0.459,0.603,0.094,0.723,91.3,81.7,87.1,76.7,77.7,79.3,,0.667,0.667,0.863,21.7,4897
Jesse Hahn,- - -,276.2,0.172,0.084,0.289,0.498,0.238,0.264,0.084,87.6,0.197,0.521,0.281,0.652,0.048,,0.208,0.092,,,0.62,0.01,,-1,-0.67,,,0.29,0.449,0.828,0.44,0.602,0.077,0.667,92.4,82.7,,74.8,84.6,,,0.651,0.71,0.894,22.9,13287
David Phelps,- - -,351.2,0.19,0.081,0.301,0.429,0.226,0.346,0.082,89.3,0.143,0.519,0.339,0.546,,0.212,0.162,0.08,,,-0.29,,0.52,-0.78,-0.04,,,0.245,0.408,0.85,0.445,0.625,0.061,0.721,90.4,,87,79.6,82.6,,,0.611,0.754,0.898,22.2,6316
Hector Santiago,- - -,737.2,0.198,0.103,0.271,0.331,0.173,0.496,0.127,89.6,0.168,0.491,0.342,0.615,0.07,0.062,0.039,0.203,0.011,,0.14,-1.55,-2.39,-1.07,-0.45,-1.4,,0.255,0.441,0.817,0.47,0.565,0.081,0.758,91.1,79,86.3,75.2,82.7,75.6,,0.652,0.72,0.86,21.5,4026
Kyle McClellan,Cardinals,104.2,0.12,0.068,0.264,0.516,0.171,0.313,0.1,,0.212,0.57,0.218,0.587,,0.144,0.167,0.102,,,-0.26,,-0.41,-1.95,3.12,,,0.233,0.439,0.871,0.51,0.603,0.056,0.696,88.8,,84.6,72.1,81.5,,,0.635,0.75,0.914,18.8,4845
Ben Sheets,- - -,168.2,0.166,0.078,0.292,0.434,0.194,0.372,0.107,,0.142,0.558,0.299,0.562,0.071,,0.283,0.084,,,-0.93,-0.98,,-0.14,0.01,,,0.287,0.442,0.84,0.466,0.605,0.07,0.736,91,84.8,,78,82.4,,,0.62,0.691,0.919,18.5,710
Jose Berrios,Twins,595.1,0.231,0.077,0.293,0.407,0.207,0.386,0.103,87.2,0.196,0.471,0.333,0.594,,,0.288,0.118,,,0.54,,,0.04,-1.17,,,0.328,0.468,0.78,0.427,0.624,0.103,0.714,93.1,,,81.4,83.3,,,0.656,0.658,0.861,22.6,14168
Mike Foltynewicz,Braves,659.1,0.223,0.08,0.293,0.394,0.22,0.387,0.105,88.5,0.182,0.489,0.328,0.598,0.228,,0.107,0.066,,,-0.12,0.53,,-0.64,-0.32,,,0.291,0.463,0.788,0.45,0.619,0.098,0.731,95.5,85.9,,79,86.4,,,0.674,0.661,0.854,20.5,10811
Carlos Silva,Cubs,113,0.167,0.05,0.304,0.482,0.192,0.326,0.077,,0.152,0.52,0.328,0.546,0.144,,,0.31,,,-1.3,1.13,,,1.44,,,0.303,0.473,0.834,0.489,0.696,0.078,0.708,90.5,79.5,,,81.5,,,0.651,0.708,0.895,18.8,973
Wade Miley,- - -,1394,0.186,0.081,0.306,0.49,0.218,0.293,0.063,87.8,0.161,0.527,0.312,0.536,0.142,0.102,0.069,0.151,,,-0.39,-0.05,0.23,-0.58,0.42,,,0.304,0.446,0.806,0.412,0.592,0.087,0.724,90.9,83.9,87.6,76.5,82.2,,,0.648,0.677,0.891,18.7,8779
Jake Westbrook,- - -,671.1,0.131,0.083,0.301,0.578,0.187,0.235,0.062,,0.178,0.542,0.28,0.63,0.102,0.135,,0.093,0.041,,-0.39,-0.12,-0.32,,0.64,-1.12,,0.29,0.441,0.845,0.422,0.593,0.068,0.707,90.2,79.2,85.8,,79.7,83.3,,0.648,0.709,0.929,19.8,412
Dillon Gee,- - -,762.1,0.169,0.074,0.292,0.451,0.192,0.357,0.083,87.4,0.194,0.53,0.277,0.541,0.13,0.018,0.113,0.197,,,-0.54,-0.5,0.87,-0.71,0.34,,,0.326,0.468,0.808,0.435,0.599,0.09,0.738,89.5,82.7,86.8,74.6,82.9,,,0.653,0.692,0.883,20.5,7396
Vance Worley,- - -,542.2,0.171,0.074,0.322,0.458,0.225,0.317,0.079,89.3,0.171,0.539,0.29,0.65,0.063,0.18,0.063,0.041,0.002,,0.06,0.13,-1.45,-1.67,-3.93,3.47,,0.281,0.436,0.876,0.45,0.604,0.054,0.712,89.6,84.8,84.9,76,83.3,84.3,,0.627,0.792,0.922,21.1,6435
Carlos Zambrano,- - -,373.2,0.175,0.113,0.286,0.442,0.209,0.348,0.109,,0.21,0.527,0.263,0.512,0.117,0.189,0.027,,0.155,,-0.01,1.11,0.28,-2.85,,-1.03,,0.267,0.424,0.827,0.42,0.541,0.073,0.718,90,79.4,89,70.3,,83,,0.64,0.696,0.903,19.2,305
Chris Heston,- - -,184.2,0.185,0.089,0.306,0.525,0.217,0.257,0.092,88.3,0.178,0.567,0.255,0.611,0.133,,0.137,0.119,,,0.33,-0.74,,0.08,-0.7,,,0.264,0.41,0.787,0.431,0.561,0.087,0.717,88.9,76.6,,74,82.1,,,0.602,0.639,0.874,20.5,10302
Aaron Sanchez,- - -,530.1,0.185,0.106,0.29,0.514,0.209,0.277,0.085,89.5,0.194,0.481,0.325,0.683,0.003,0.001,0.169,0.144,,,0.03,-2.19,-24.11,-0.55,0,,,0.261,0.428,0.805,0.434,0.591,0.083,0.727,94.3,87.4,93.3,78.6,88.3,,,0.646,0.675,0.874,22.3,11490
Jimmy Nelson,Brewers,617,0.21,0.087,0.31,0.495,0.206,0.299,0.102,87.2,0.206,0.48,0.314,0.651,0.175,,0.157,0.017,,,-0.47,0.9,,0.3,-2.78,,,0.297,0.462,0.794,0.468,0.599,0.095,0.708,93.4,87.3,,83.5,86.4,,,0.649,0.646,0.87,24.2,10547
Paul Maholm,- - -,732.1,0.145,0.073,0.301,0.51,0.209,0.281,0.069,,0.164,0.54,0.296,0.495,0.206,,0.142,0.157,,,-0.5,0,,-0.44,0.01,,,0.293,0.433,0.851,0.439,0.617,0.065,0.704,87.6,81.5,,72.1,81.2,,,0.613,0.727,0.926,21.2,8678
Drew Pomeranz,- - -,698.1,0.226,0.102,0.3,0.43,0.207,0.363,0.116,88.6,0.191,0.49,0.319,0.588,,0.061,0.327,0.024,,,0.11,,-0.53,-0.22,-3.38,,,0.288,0.44,0.788,0.431,0.567,0.093,0.749,90.8,,86.4,79.4,83.5,,,0.641,0.665,0.86,23.2,11426
A.J. Griffin,- - -,473.1,0.202,0.074,0.255,0.315,0.197,0.488,0.149,88.1,0.191,0.485,0.324,0.562,0.117,0.009,0.191,0.121,,,-0.28,-1.06,0.37,0.57,1.04,,,0.287,0.448,0.806,0.463,0.597,0.087,0.775,88.5,82.4,83.5,67.3,80.6,,,0.635,0.706,0.858,18.7,11132
Drew Smyly,- - -,581,0.231,0.074,0.291,0.353,0.2,0.447,0.138,88.2,0.197,0.478,0.325,0.53,0.047,0.155,0.218,0.05,,,0.32,1.46,-1.67,0.04,-3.52,,,0.305,0.462,0.775,0.456,0.601,0.104,0.744,90.5,79.8,85.3,76.8,81.1,,,0.65,0.628,0.858,20.9,11760
Aaron Harang,- - -,979,0.169,0.08,0.301,0.381,0.207,0.412,0.093,90.2,0.168,0.535,0.297,0.589,0.198,0.05,0.085,0.079,,,-0.33,-0.06,0.17,-0.11,-2.39,,,0.303,0.468,0.83,0.44,0.597,0.079,0.723,89.7,81.6,87.8,74.4,83.1,,,0.678,0.714,0.896,20.7,1451
Jake Faria,Rays,135,0.211,0.098,0.268,0.368,0.219,0.413,0.139,88.8,0.179,0.486,0.335,0.56,0.212,,0.042,0.187,,,-0.35,1.17,,-0.63,-0.14,,,0.277,0.452,0.765,0.435,0.562,0.106,0.745,91.7,83.2,,75.3,81.1,,,0.68,0.599,0.854,24,13699
Colby Lewis,Rangers,997.2,0.192,0.06,0.284,0.344,0.198,0.458,0.111,89.1,0.163,0.513,0.324,0.56,0.279,,0.09,0.072,,,-0.45,0.84,,-1.44,0.07,,,0.302,0.458,0.817,0.459,0.65,0.084,0.707,88.7,83,,76.4,83.2,,,0.641,0.676,0.895,20.3,1259
Carl Pavano,Twins,506,0.118,0.04,0.298,0.497,0.185,0.319,0.077,,0.168,0.533,0.299,0.593,0.174,,,0.228,0.006,,-0.9,-0.32,,,1.36,-3.51,,0.347,0.485,0.849,0.455,0.661,0.073,0.686,89.2,83.2,,,80.8,82.7,,0.651,0.753,0.91,20.1,790
Luis Mendoza,Royals,239.2,0.147,0.083,0.303,0.503,0.213,0.285,0.096,,0.139,0.555,0.307,0.669,,,0.247,0.084,,,-0.47,,,0.44,-1.03,,,0.307,0.447,0.836,0.402,0.587,0.073,0.71,91.9,,,81.7,82.8,,,0.655,0.696,0.934,22.4,3126
Andrew Triggs,Athletics,132.1,0.205,0.068,0.274,0.482,0.178,0.339,0.059,89.4,0.165,0.529,0.307,0.477,0.216,0.271,,0.036,,,-0.27,-0.04,1.42,,-3.02,,,0.301,0.427,0.763,0.398,0.571,0.101,0.654,89.4,75.8,82.9,,82.9,,,0.618,0.611,0.876,23.6,13533
Brent Suter,Brewers,174.1,0.187,0.051,0.295,0.397,0.257,0.346,0.134,84.9,0.222,0.474,0.305,0.696,0.084,,0.099,0.121,,,0.12,1.26,,-2.38,-0.54,,,0.313,0.479,0.798,0.473,0.678,0.097,0.725,86.1,76.1,,73.5,80,,,0.665,0.675,0.862,17.8,13942
Marco Estrada,- - -,1108.1,0.207,0.075,0.263,0.319,0.182,0.499,0.15,87.6,0.204,0.48,0.315,0.538,,0.056,0.125,0.281,,,0.15,,-1.45,-1.04,0.45,,,0.297,0.475,0.784,0.444,0.602,0.102,0.735,89.2,,86.3,77.7,77.5,,,0.697,0.701,0.829,21.4,1118
Wily Peralta,Brewers,686.1,0.166,0.082,0.307,0.514,0.204,0.282,0.076,89.3,0.183,0.515,0.303,0.653,0.286,,0.007,0.054,,,-0.61,0.14,,-1.64,-2.15,,,0.283,0.447,0.818,0.412,0.581,0.081,0.72,95.1,84.7,,80.6,84.3,,,0.681,0.672,0.905,22.1,7738
Jorge De La Rosa,Rockies,818.1,0.186,0.096,0.291,0.492,0.206,0.302,0.088,87.9,0.182,0.499,0.319,0.43,0.079,0.128,0.061,0.302,,,-0.96,0.52,-1.52,-0.94,1.35,,,0.305,0.46,0.771,0.425,0.566,0.105,0.715,91.8,85.2,87.1,73.6,82.8,,,0.668,0.613,0.868,24.7,2047
Nathan Eovaldi,- - -,890.1,0.179,0.074,0.307,0.467,0.212,0.321,0.084,89.1,0.175,0.513,0.312,0.553,0.192,0.063,0.082,0.054,0.056,,0.08,-0.05,0.64,-1.29,0.22,-1.17,,0.293,0.481,0.815,0.48,0.614,0.089,0.712,96,85.8,92.9,76.5,87.5,88.2,,0.684,0.689,0.874,21.8,9132
Chris Capuano,- - -,609,0.194,0.066,0.305,0.425,0.196,0.379,0.108,89.8,0.176,0.515,0.309,0.537,0.117,0.023,0.045,0.278,,,-0.33,-1.09,-1.91,-0.63,0.35,,,0.315,0.457,0.77,0.455,0.64,0.105,0.708,88.1,80.4,84.2,75.1,78,,,0.627,0.608,0.867,23,1701
Brandon Morrow,- - -,565,0.242,0.091,0.301,0.399,0.2,0.401,0.089,89.6,0.182,0.502,0.316,0.593,0.212,0.011,0.072,0.113,,,-0.25,1.39,-0.89,-0.92,-1.15,,,0.29,0.458,0.772,0.445,0.571,0.105,0.695,93.5,87.3,89.2,80.7,85.7,,,0.668,0.613,0.857,22.5,9346
Dan Straily,- - -,771,0.199,0.09,0.264,0.337,0.203,0.46,0.122,88.7,0.16,0.507,0.334,0.526,0.28,,0.03,0.164,,,-0.43,0.81,,-0.66,-0.77,,,0.301,0.471,0.773,0.443,0.588,0.107,0.754,90,83.3,,73.5,82.9,,,0.684,0.616,0.86,20.9,9460
German Marquez,Rockies,547.1,0.244,0.062,0.313,0.472,0.226,0.302,0.066,89.7,0.159,0.476,0.365,0.576,0.133,,0.239,0.052,,,-0.22,-0.08,,1.04,-2.65,,,0.302,0.48,0.76,0.49,0.63,0.115,0.727,95.1,86.5,,82.4,86.1,,,0.667,0.529,0.869,20.6,15038
Tommy Milone,- - -,761.2,0.171,0.058,0.301,0.383,0.23,0.388,0.119,87.1,0.189,0.523,0.288,0.483,0.011,0.124,0.114,0.268,,,-0.97,-2.02,0.11,-0.98,0.41,,,0.332,0.457,0.814,0.412,0.665,0.085,0.711,87.4,79,86,74.9,80.5,,,0.635,0.719,0.884,21.7,7608
Ryan Borucki,Blue Jays,104.1,0.16,0.086,0.307,0.461,0.193,0.345,0.086,88.8,0.153,0.516,0.331,0.582,0.188,,,0.231,,,-0.43,-0.53,,,0.04,,,0.307,0.444,0.823,0.395,0.528,0.079,0.674,91.6,80.4,,,83.3,,,0.655,0.721,0.895,20.8,16350
Felix Pena,Angels,118.2,0.214,0.078,0.278,0.411,0.245,0.344,0.085,89.1,0.156,0.439,0.405,0.56,,,0.363,0.077,,,0.34,,,0.42,-1.54,,,0.31,0.44,0.766,0.419,0.598,0.103,0.684,92,,,82,84.8,,,0.62,0.607,0.877,23.3,13403
John Lannan,- - -,435,0.12,0.086,0.307,0.531,0.205,0.264,0.078,,0.192,0.538,0.27,0.618,0.117,,0.084,0.181,,,-0.75,-1.49,,-0.16,1.04,,,0.272,0.438,0.846,0.449,0.568,0.068,0.702,89.1,80.8,,74,84,,,0.643,0.715,0.914,20.5,7080
